Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in12st4de3mh0ms0btlneck.req;1;328.4;150.0;2765.75;150.0;150.0;3544.15;100001100100111110111101011111100111111011101100111011110111
ph1in12st4de3mh0ms0btlneck.req;2;403.2;150.0;2699.5;150.0;150.0;3552.7;100001000100111101111101111101110100100101101110110101111100
ph1in12st4de3mh0ms0high.req;1;646.3;150.0;200.0;150.0;150.0;1296.3;000010010000101110111000101111001100101110110110101011011010
ph1in12st4de3mh0ms0high.req;2;557.2;150.0;150.0;150.0;150.0;1157.2;101000000100101010010101101011101101111010111100111001101111
ph1in12st4de3mh0ms0low.req;1;1810.8;1290.25;1463.75;1556.75;1290.25;7411.8;111111111111111111111111001111110101000111001011111111111111
ph1in12st4de3mh0ms0low.req;2;1810.8;1323.0;1318.0;1318.0;1516.5;7286.3;111111111111110111111111011111111111011111111111011100011101
ph1in12st4de3mh0ms0rand.req;1;870.8;1125.2;609.15;562.3;1259.95;4427.4;101100010011111111101101000001100011101101011100011111011111
ph1in12st4de3mh0ms0rand.req;2;528.04;1157.65;452.55;521.85;1425.35;4085.44;010110110011101101111111110111110111111111010010111010011011
ph1in13st1de4mh0ms0btlneck.req;1;302.52;9.6;1481.2;120.5;200.5;2114.32;101100000000111110011011111011111000100010000010111111110110
ph1in13st1de4mh0ms0btlneck.req;2;88.94;55.72;1614.3;125.45;200.5;2084.91;100100101000111000110001101010001111100000010000100111101011
ph1in13st1de4mh0ms0high.req;1;203.69;9.6;24.0;83.38;150.0;470.67;101001000000111111010110111001000101110011011110111111110011
ph1in13st1de4mh0ms0high.req;2;41.72;119.74;24.0;60.0;150.0;395.46;111111000110001000110101111001010100101100001110101001111100
ph1in13st1de4mh0ms0low.req;1;438.29;260.27;451.11;678.07;1353.25;3180.99;111111111111111111111111111011011111111011011111111110011111
ph1in13st1de4mh0ms0low.req;2;438.29;260.27;451.11;644.8;1511.5;3305.97;111111111111111111111111011111111011111111111011111010001110
ph1in13st1de4mh0ms0rand.req;1;183.36;235.03;252.79;327.12;794.15;1792.45;101111110111111111111111111111111111101110011010101110111010
ph1in13st1de4mh0ms0rand.req;2;217.4;229.71;252.79;310.62;791.6;1802.12;011011101111111111111111111111111111111100111010111101101101
ph1in14st2de4mh0ms0btlneck.req;1;40.78;93.78;3687.45;200.5;200.5;4223.01;011110110111111111111110000000000000111001101110110000010000
ph1in14st2de4mh0ms0btlneck.req;2;75.64;81.88;2729.9;299.0;337.0;3523.42;111000111101101010110110101100110110101000001100111011101101
ph1in14st2de4mh0ms0high.req;1;446.17;24.0;60.0;159.0;150.0;839.17;101000000010101001011111101101101110101011100101111111110110
ph1in14st2de4mh0ms0high.req;2;193.94;24.0;60.0;150.0;150.0;577.94;100100000100111111100100101110011111110101011100110101110101
ph1in14st2de4mh0ms0low.req;1;890.83;523.4;956.65;1348.25;1373.25;5092.38;011111111111111111111111111110011111111110011111111111111100
ph1in14st2de4mh0ms0low.req;2;897.49;620.81;835.1;1360.75;1318.0;5032.15;101111111111111111011111111111101111111110101111111111101111
ph1in14st2de4mh0ms0rand.req;1;145.27;91.0;375.92;518.5;667.55;1798.24;111010111110111010101111111111111111100101101101001111111011
ph1in14st2de4mh0ms0rand.req;2;178.14;78.41;383.31;532.85;698.9;1871.61;111010110110111010111111111011111110111001111010101111111001
ph1in15st3de4mh0ms0btlneck.req;1;235.36;209.0;3040.65;246.0;246.0;3977.01;100100011001100100010111100000011100100101110000100101010001
ph1in15st3de4mh0ms0btlneck.req;2;584.56;165.25;3270.0;200.5;200.5;4420.81;000101000000011101001011100000111111100110101000100000000001
ph1in15st3de4mh0ms0high.req;1;267.76;150.0;60.0;163.0;150.0;790.76;100100001100111101111100110111101101000100101100101101001101
ph1in15st3de4mh0ms0high.req;2;309.12;150.0;60.0;150.0;186.0;855.12;100010001100101111100111111011010111101010001111100011110011
ph1in15st3de4mh0ms0low.req;1;1166.96;1323.0;768.55;1290.25;1521.5;6070.26;111111111111110111111111111111111111111111111111011011010101
ph1in15st3de4mh0ms0low.req;2;1423.92;1318.0;995.7;1451.25;1381.0;6569.87;011111011111111111111111011110111111111101000111011111011111
ph1in15st3de4mh0ms0rand.req;1;206.53;472.2;396.09;603.55;696.5;2374.87;011111101111111111100110111011101110101111100111111111101111
ph1in15st3de4mh0ms0rand.req;2;205.47;499.3;322.72;653.7;686.5;2367.69;111111111011011111111000001111111110011100110100111111111111
ph1in16st4de4mh0ms0btlneck.req;1;508.8;150.0;2752.25;150.0;150.0;3711.05;101000001100101111011110101011110010101010011100101011010101
ph1in16st4de4mh0ms0btlneck.req;2;508.8;150.0;2635.75;150.0;150.0;3594.55;101000000100111010001110101011111110111110011111101100110101
ph1in16st4de4mh0ms0high.req;1;535.2;150.0;150.0;196.25;150.0;1181.45;100010000001100111001111100110101001000100100001110111111101
ph1in16st4de4mh0ms0high.req;2;574.8;150.0;150.0;150.0;150.0;1174.8;100010000010101011001110111010010010110110101110101111011010
ph1in16st4de4mh0ms0low.req;1;1810.8;1360.75;1290.25;1325.5;1318.0;7105.3;011111111111110011111111111111111111111011111111011111111111
ph1in16st4de4mh0ms0low.req;2;1832.8;1448.75;1325.5;1476.25;1318.0;7401.3;110111111111110001011111111110111111110110111001110111111111
ph1in16st4de4mh0ms0rand.req;1;355.08;792.95;652.4;483.35;460.75;2744.53;101111110111111110111100011111011011110101101111011001011110
ph1in16st4de4mh0ms0rand.req;2;310.42;766.0;608.7;459.1;467.05;2611.27;111111101111100011110111111111111111111111001001111111100001
ph1in17st1de5mh0ms0btlneck.req;1;15.18;411.23;1432.8;120.5;200.5;2180.21;101111111001011000000000111100010000100000010000100011001011
ph1in17st1de5mh0ms0btlneck.req;2;13.53;41.37;1414.04;147.1;235.5;1851.54;101111111101110001111100101111101101100010000001111010011101
ph1in17st1de5mh0ms0high.req;1;193.07;9.6;121.1;60.0;150.0;533.77;001000010000101011011100011010001100101110001001101011111111
ph1in17st1de5mh0ms0high.req;2;148.79;9.6;30.35;60.0;150.0;398.74;100100010000111111110001001111011111111101111001101100110010
ph1in17st1de5mh0ms0low.req;1;728.55;387.72;512.21;797.15;1431.25;3856.88;111101111100111111011111110111011100011011111100111111100101
ph1in17st1de5mh0ms0low.req;2;665.96;337.47;423.88;678.07;1499.0;3604.38;111111111100111111111100111111111111111111111111101111110010
ph1in17st1de5mh0ms0rand.req;1;354.56;274.03;182.08;323.0;669.6;1803.27;101010111100111111111101110110101011111111101110011101011011
